face,embedding,cluster
face_id_0,"[-0.17780616879463196, 0.11140817403793335, 0.09710906445980072, 0.015651997178792953, -0.07664176821708679, -0.040459610521793365, -0.005757762119174004, -0.11429216712713242, 0.20436355471611023, -0.04317111894488335, 0.23735634982585907, -0.058940596878528595, -0.1761844903230667, -0.1526215374469757, 0.024230703711509705, 0.13273070752620697, -0.17949721217155457, -0.10251838713884354, -0.0171671062707901, -0.07335459440946579, 0.007675728760659695, 0.010802262462675571, 0.052700724452733994, 0.06737086921930313, -0.15006878972053528, -0.4011896848678589, -0.09727051854133606, -0.2085086554288864, 0.002422918798401952, -0.13350382447242737, 0.026645267382264137, 0.036786001175642014, -0.23622964322566986, -0.08498605340719223, -0.06728989630937576, 0.020090822130441666, 0.011853140778839588, 0.037302445620298386, 0.15899522602558136, 0.05061621591448784, -0.1612914502620697, -0.05134885013103485, 5.56134655198548e-05, 0.30386537313461304, 0.11623972654342651, 0.03177846968173981, -0.00860616099089384, 0.052386753261089325, 0.026860864832997322, -0.17032243311405182, 0.017960375174880028, 0.09203121066093445, 0.2000252902507782, -0.0022229603491723537, 0.027616746723651886, -0.06026202812790871, 0.012183637358248234, 0.039359234273433685, -0.26521673798561096, 0.06024941802024841, 0.08970938622951508, -0.09119923412799835, -0.10709148645401001, 0.07332676649093628, 0.3131980895996094, 0.15201550722122192, -0.045971959829330444, -0.09971629828214645, 0.17018215358257294, -0.12072397768497467, -0.03174007683992386, 0.06836073100566864, -0.09621516615152359, -0.14914962649345398, -0.274779349565506, 0.062184423208236694, 0.40447062253952026, 0.035722263157367706, -0.25555935502052307, -0.04950394481420517, -0.1753496378660202, 0.01655479334294796, 0.023995909839868546, 0.0204324908554554, -0.08501531183719635, 0.03197486326098442, -0.09344441443681717, 0.0029875668697059155, 0.12523214519023895, -0.013317575678229332, -0.02282658964395523, 0.1940045803785324, 0.045119814574718475, -0.05014137923717499, 0.04299536719918251, -0.07906311005353928, -0.01895774155855179, -0.03262338042259216, -0.09779275208711624, -0.050213683396577835, 0.03568550944328308, -0.05779854580760002, -0.03130573406815529, 0.05493387207388878, -0.27396470308303833, 0.14777936041355133, 0.07850808650255203, -0.13223297894001007, -0.0010592155158519745, 0.07638498395681381, -0.11485663056373596, -0.09411700069904327, 0.167139932513237, -0.29757046699523926, 0.19112607836723328, 0.1870482712984085, -0.0066668991930782795, 0.17173807322978973, -0.05799782648682594, 0.07340649515390396, -0.06614688038825989, 0.0037340878043323755, -0.05733857303857803, -0.08745268732309341, 0.10168664902448654, -0.07810013741254807, 0.03366869315505028, -4.9399568524677306e-05]",0
face_id_1,"[-0.14510276913642883, 0.11045663803815842, 0.11027752608060837, -0.10522214323282242, -0.10444312542676926, -0.06633301824331284, 0.03992018476128578, -0.16728952527046204, 0.15719090402126312, -0.17216075956821442, 0.3189859390258789, -0.020685961470007896, -0.17664885520935059, -0.162741556763649, 0.030582943931221962, 0.16806180775165558, -0.2078317403793335, -0.17133551836013794, -0.04079815745353699, -0.06962078809738159, -0.012409047223627567, -0.003558109747245908, 0.02766595035791397, 0.03801587224006653, -0.13884548842906952, -0.402078777551651, -0.1528409868478775, -0.1232185810804367, 0.00551114184781909, -0.030075937509536743, 0.05215822160243988, 0.11778029799461365, -0.19018083810806274, -0.009224663488566875, -0.017869120463728905, 0.012606794945895672, -0.018316708505153656, -0.017140736803412437, 0.17145748436450958, 0.04750080034136772, -0.16704773902893066, -0.10171029716730118, 0.016027141362428665, 0.2814328670501709, 0.17653308808803558, -0.05427318438887596, 0.027205726131796837, -0.010253517888486385, 0.029337003827095032, -0.1735779047012329, 0.03412952274084091, 0.11613321304321289, 0.14242206513881683, 0.0244433730840683, 0.002131345449015498, -0.0932614728808403, -0.029190050438046455, 0.03959036245942116, -0.2018660008907318, 0.0020498603116720915, 0.043595090508461, -0.1525673270225525, -0.16731517016887665, -0.03181053325533867, 0.27562442421913147, 0.16530677676200867, -0.12915797531604767, -0.1434658318758011, 0.25270089507102966, -0.10261017084121704, -0.018950054422020912, 0.04571026563644409, -0.20927102863788605, -0.1218944862484932, -0.24251866340637207, 0.035797569900751114, 0.3308224678039551, 0.052586816251277924, -0.19539231061935425, -0.07924836874008179, -0.1842455118894577, 0.03357769548892975, -0.02986324205994606, 0.07347415387630463, -0.0652410089969635, -0.00639628991484642, -0.08750728517770767, 0.0622020959854126, 0.12142740190029144, -0.08398087322711945, -0.053130507469177246, 0.26229581236839294, -0.024207828566432, -0.017645256593823433, 0.027508769184350967, -0.03111943043768406, -0.03540900722146034, -0.04181455448269844, -0.12884482741355896, -0.05787871405482292, 0.05857355147600174, -0.07536580413579941, -0.04714834317564964, 0.15058216452598572, -0.18451258540153503, 0.13533227145671844, 0.028848765417933464, -0.023846695199608803, 0.021802356466650963, -0.014328787103295326, -0.10398321598768234, -0.15835316479206085, 0.1482735127210617, -0.1564139574766159, 0.15622472763061523, 0.18821291625499725, 0.0026531866751611233, 0.14197953045368195, 0.03410983085632324, 0.06349153071641922, -0.07227759063243866, -0.08979562669992447, -0.11682445555925369, -0.005568966269493103, 0.0871061384677887, -0.03916012495756149, -0.004086506552994251, -0.03032645583152771]",1
face_id_2,"[-0.18592892587184906, 0.09384222328662872, 0.13402672111988068, 0.039499521255493164, -0.03156531602144241, -0.12967152893543243, 0.021884704008698463, -0.1425117552280426, 0.07611124962568283, -0.005585274659097195, 0.28195953369140625, 0.04505550488829613, -0.13692845404148102, -0.15993183851242065, 0.051383547484874725, 0.0813855230808258, -0.1444617360830307, -0.09235937893390656, -0.09631117433309555, -0.09232384711503983, 0.015101664699614048, 0.05938340350985527, 0.08554156124591827, 0.030013350769877434, -0.15992258489131927, -0.2908001244068146, -0.10863018035888672, -0.13401015102863312, 0.10815764963626862, -0.06985144317150116, 0.0254853256046772, 0.05119305104017258, -0.2328890711069107, -0.022857531905174255, -0.042512182146310806, 0.02020544558763504, 0.04110515117645264, 0.05022776499390602, 0.16339439153671265, 0.06484558433294296, -0.16053755581378937, -0.0791814774274826, -0.04769444838166237, 0.27439481019973755, 0.2054491937160492, -0.0570530891418457, 0.050645049661397934, -0.032618287950754166, 0.02727409452199936, -0.14939332008361816, 0.023285863921046257, 0.1246684119105339, 0.16518206894397736, 0.028178222477436066, -0.030156005173921585, -0.09209021180868149, -0.04514768347144127, 0.04116717725992203, -0.1854310780763626, 0.08742731809616089, 0.06173457205295563, -0.1346793919801712, -0.14716394245624542, -0.006931902840733528, 0.17661505937576294, 0.06195278465747833, -0.09851139783859253, -0.13872455060482025, 0.175240620970726, -0.13559022545814514, 0.011427526362240314, 0.16992069780826569, -0.1210896223783493, -0.1614917516708374, -0.26046931743621826, 0.0752498060464859, 0.3642454743385315, 0.03544565662741661, -0.2617136240005493, -0.04463846608996391, -0.2226284295320511, 0.017736488953232765, 0.01159463170915842, 0.03206205740571022, -0.05505416542291641, 0.05951752886176109, -0.14566965401172638, 0.04932891204953194, 0.1366850584745407, -0.07190849632024765, 0.004784849472343922, 0.2469296157360077, 0.030519163236021996, 0.007587322499603033, 0.04390953108668327, 0.03758205845952034, -0.029303936287760735, -0.034159690141677856, -0.05878401920199394, -0.04721121862530708, 0.05460233613848686, -0.10268279910087585, 0.007369278464466333, 0.042661797255277634, -0.13223059475421906, 0.18617010116577148, 0.06943719834089279, -0.011385767720639706, 0.030893443152308464, -0.01865127868950367, -0.07133180648088455, -0.15728653967380524, 0.1607116162776947, -0.20062395930290222, 0.17886261641979218, 0.1921660155057907, -0.05547349900007248, 0.14502973854541779, -0.019352585077285767, 0.1627744436264038, -0.12328167259693146, -0.016500134021043777, -0.02593398280441761, 0.0023032519966363907, 0.0521029494702816, -0.07033044844865799, -0.017220204696059227, -0.028750283643603325]",2
face_id_3,"[-0.21630069613456726, 0.07564140111207962, 0.11740447580814362, -0.020558448508381844, -0.019991470500826836, -0.1121104508638382, 0.11875271052122116, -0.10018475353717804, 0.1386350393295288, -0.04014221951365471, 0.31641194224357605, -0.022005850449204445, -0.17581182718276978, -0.17113155126571655, 0.036222320050001144, 0.12271988391876221, -0.17859259247779846, -0.09578636288642883, -0.11184538900852203, -0.12388947606086731, -0.041729602962732315, -0.013938512653112411, 0.05271923914551735, 0.0710628554224968, -0.07444747537374496, -0.2739222049713135, -0.1114705502986908, -0.18533648550510406, 0.0775923952460289, -0.06266460567712784, -4.927573536406271e-05, 0.05170758068561554, -0.23507939279079437, -0.11167012155056, -0.047893110662698746, -0.019862348213791847, 0.07165655493736267, -0.01775720715522766, 0.17323662340641022, 0.012992039322853088, -0.10091044008731842, -0.044323790818452835, 0.025251438841223717, 0.26850447058677673, 0.17584487795829773, -0.03393401950597763, -0.007184005808085203, 0.017208494246006012, 0.0904812142252922, -0.21200591325759888, 0.06061515584588051, 0.07072407007217407, 0.1999417096376419, 0.041353046894073486, -0.01680663600564003, -0.11983844637870789, 0.031718626618385315, 0.01952989399433136, -0.20026607811450958, 0.10417325794696808, 0.09795857220888138, -0.1548999547958374, -0.1144476979970932, 0.046902935951948166, 0.2303769737482071, 0.12322482466697693, -0.08250730484724045, -0.13554878532886505, 0.22076155245304108, -0.09170224517583847, 0.040301788598299026, 0.1172669380903244, -0.1414443850517273, -0.10117951035499573, -0.24544258415699005, 0.16322146356105804, 0.37749582529067993, 0.10092734545469284, -0.19003885984420776, -0.05446792021393776, -0.27591875195503235, 0.03916472569108009, -0.06674608588218689, 0.025173135101795197, -0.11801192164421082, -0.0008687552763149142, -0.1743369847536087, 0.04322826489806175, 0.10557309538125992, 0.0019684061408042908, -0.03864942863583565, 0.2788696587085724, 0.013993561267852783, -0.032159171998500824, 0.03681714087724686, 0.021787045523524284, -0.061483729630708694, -0.0670008435845375, -0.06813665479421616, -0.03566557168960571, 0.11660236120223999, -0.12921695411205292, -0.0041914102621376514, 0.1008574441075325, -0.21146424114704132, 0.11527794599533081, -0.0404067225754261, -0.01646660454571247, -0.0016965121030807495, -0.00871750246733427, -0.007426669355481863, -0.0528932623565197, 0.10447636246681213, -0.16957202553749084, 0.1794009655714035, 0.14809764921665192, 0.026409368962049484, 0.13503950834274292, -0.019096530973911285, 0.09592146426439285, -0.07457772642374039, -0.05455464497208595, -0.04892163723707199, -0.05577341094613075, 0.0663013607263565, -0.030462993308901787, 0.03857450932264328, 0.0519295297563076]",2
face_id_4,"[-0.17144173383712769, 0.05064402520656586, 0.05672585591673851, -0.06810299307107925, -0.15025348961353302, 0.010046443901956081, 0.052972059696912766, -0.1197211816906929, 0.24082614481449127, -0.1079767495393753, 0.08462060242891312, 0.050681453198194504, -0.1517326384782791, 0.028347862884402275, -0.09275207668542862, 0.12040232867002487, -0.10816414654254913, -0.17665135860443115, -0.12155835330486298, -0.0854043960571289, 0.0009609517292119563, 0.07242430001497269, 0.07082853466272354, 0.007648108992725611, -0.18919435143470764, -0.2667597532272339, -0.07589317113161087, -0.07309496402740479, 0.06022759526968002, -0.07398836314678192, 0.02003885991871357, 0.1720065474510193, -0.17567716538906097, 0.006928294897079468, 0.06484320014715195, 0.1235012412071228, -0.03982473164796829, -0.037325069308280945, 0.2086554616689682, 0.02542133629322052, -0.18320444226264954, 0.031783174723386765, 0.061731819063425064, 0.26437893509864807, 0.297873318195343, -0.006873783189803362, 0.020617321133613586, -0.14246498048305511, 0.15497182309627533, -0.33708053827285767, 0.005306989885866642, 0.14604327082633972, 0.00696819182485342, 0.0660826563835144, 0.0483250617980957, -0.159309983253479, 0.012644479051232338, 0.10562140494585037, -0.20038196444511414, 0.08595214784145355, 0.036306269466876984, -0.12898913025856018, -0.11757761240005493, -0.07220464199781418, 0.198244109749794, 0.1299169808626175, -0.16167780756950378, -0.18603955209255219, 0.18840478360652924, -0.2132897824048996, -0.001832275534979999, 0.14341896772384644, -0.11868496984243393, -0.15932822227478027, -0.18706069886684418, -0.0052205538377165794, 0.4768396019935608, 0.15391303598880768, -0.12539345026016235, 0.05459441617131233, -0.17397154867649078, 0.001933733350597322, -0.05218162387609482, 0.0943015068769455, -0.06488493829965591, -0.10535334795713425, -0.06937181949615479, -0.006992212031036615, 0.2556261718273163, -0.009328392334282398, -0.04692262038588524, 0.21057741343975067, 0.04736555367708206, -0.005865742452442646, -0.04279500991106033, 0.07229702919721603, -0.16973383724689484, -0.05105609446763992, -0.1199786514043808, -0.11255621165037155, -0.05316821485757828, -0.05556078627705574, -0.00031934515573084354, 0.14590449631214142, -0.19775338470935822, 0.2955881357192993, -0.08346746116876602, -0.012035486288368702, -0.002375514479354024, -0.0934956818819046, -0.010115347802639008, 0.0489724799990654, 0.15181897580623627, -0.2707425057888031, 0.20126082003116608, 0.16328297555446625, 0.010067574679851532, 0.18376454710960388, 0.040866918861866, 0.089551642537117, 0.0034635828342288733, 0.08377393335103989, -0.12054142355918884, -0.07905036211013794, 0.013088075444102287, -0.10116281360387802, 0.018195323646068573, 0.02140050195157528]",3
face_id_5,"[-0.22867242991924286, 0.14878299832344055, 0.14769546687602997, -0.011023792438209057, -0.004316226113587618, -0.11380525678396225, 0.09047754853963852, -0.09053182601928711, 0.12377586960792542, -0.0672953650355339, 0.2918349504470825, -0.013517928309738636, -0.17710505425930023, -0.16508960723876953, 0.12220072746276855, 0.10715890675783157, -0.1672080159187317, -0.13349321484565735, -0.08415521681308746, -0.07843352854251862, 0.043761152774095535, 0.05319133773446083, 0.05481334775686264, 0.03723660856485367, -0.15484897792339325, -0.29658985137939453, -0.058988749980926514, -0.12388817965984344, 0.07255595177412033, -0.07557510584592819, -0.02546757645905018, 0.06203251704573631, -0.23686403036117554, -0.059031274169683456, -0.05665358528494835, 0.07987522333860397, 0.04548799619078636, 0.004540788475424051, 0.12459696829319, 0.08431098610162735, -0.1330128312110901, -0.10611160844564438, -0.0497904047369957, 0.2953401207923889, 0.15922702848911285, -0.033612076193094254, 0.023797379806637764, -0.007890090346336365, 0.016594773158431053, -0.1937677264213562, -0.005120854824781418, 0.0727720856666565, 0.14565174281597137, 0.05119253695011139, -0.044208697974681854, -0.1659197062253952, -0.006675689481198788, -0.0273045115172863, -0.1603342592716217, 0.09866728633642197, 0.08439896255731583, -0.2099733203649521, -0.12387541681528091, -0.03545643761754036, 0.21428653597831726, 0.04344574362039566, -0.06635875999927521, -0.10640766471624374, 0.16674569249153137, -0.07684548944234848, -0.015213219448924065, 0.14933288097381592, -0.12969490885734558, -0.1210513710975647, -0.24154415726661682, 0.06855534017086029, 0.2996969223022461, 0.08553826808929443, -0.19971157610416412, -0.0755537897348404, -0.2199239432811737, 0.052259042859077454, -0.03988828882575035, 0.06347548961639404, -0.07413941621780396, 0.09398584812879562, -0.17655740678310394, 0.09217294305562973, 0.1470717489719391, -0.054388970136642456, -0.0090499771758914, 0.2686973810195923, 0.010847535915672779, 0.036665547639131546, 0.006645206827670336, -0.04443708062171936, -0.025985322892665863, -0.029875777661800385, -0.05946175009012222, -0.0687699019908905, 0.09308116883039474, -0.16114404797554016, -0.007948273792862892, 0.1030130535364151, -0.20947815477848053, 0.12776541709899902, 0.026329340413212776, 0.0006628628470934927, 0.021511927247047424, -0.009572809562087059, -0.04216587916016579, -0.09705249220132828, 0.1250206083059311, -0.15548954904079437, 0.1404992640018463, 0.270594984292984, 0.02375486120581627, 0.14031219482421875, -0.004430125467479229, 0.11028460413217545, -0.09715233743190765, -0.02084013819694519, -0.09163279831409454, 0.00707579031586647, 0.060546353459358215, -0.013557505793869495, 0.008561203256249428, 0.027818892151117325]",2
face_id_6,"[-0.21673236787319183, 0.06874699145555496, 0.1069612130522728, -0.04306066408753395, -0.03747062012553215, -0.10105038434267044, 0.06366787850856781, -0.038559336215257645, 0.12641988694667816, -0.07379492372274399, 0.28763946890830994, 0.009336307644844055, -0.19360141456127167, -0.15433835983276367, 0.080207459628582, 0.0962076187133789, -0.16008180379867554, -0.09228509664535522, -0.09205537289381027, -0.16206128895282745, -0.009509212337434292, 0.053717534989118576, 0.04665271192789078, 0.003250575391575694, -0.1151224672794342, -0.2810598909854889, -0.15846306085586548, -0.20303182303905487, 0.09364897012710571, -0.06995360553264618, 0.06479199230670929, 0.018070464953780174, -0.17401966452598572, -0.08650112897157669, -0.03806022182106972, -0.02873198874294758, 0.09115388989448547, -0.008909610100090504, 0.17478160560131073, 0.045045483857393265, -0.09033399075269699, -0.12012212723493576, -0.037401631474494934, 0.28934741020202637, 0.163568377494812, -0.03706732392311096, -0.03136559575796127, 0.042443275451660156, 0.06373497098684311, -0.2100795954465866, 0.02791663073003292, 0.08171200007200241, 0.1004590317606926, 0.05081600323319435, 0.015074219554662704, -0.04917984828352928, 0.009373377077281475, 0.026484346017241478, -0.2342783808708191, 0.030173195526003838, 0.03483404964208603, -0.14167755842208862, -0.16067977249622345, -0.0264121163636446, 0.22299349308013916, 0.12670373916625977, -0.06308028846979141, -0.17722190916538239, 0.2667663097381592, -0.11022455245256424, -0.0063247946090996265, 0.11154968291521072, -0.17296810448169708, -0.0640363097190857, -0.22843925654888153, 0.12172380089759827, 0.2924003601074219, 0.08595891296863556, -0.13285446166992188, -0.01228481438010931, -0.22528907656669617, 0.026915710419416428, -0.053798653185367584, -0.01998315565288067, -0.061409562826156616, 0.039276283234357834, -0.07197032123804092, 0.07819940149784088, 0.097145214676857, -0.0751057118177414, -0.03799571469426155, 0.24695174396038055, -0.021680710837244987, 0.027755191549658775, 0.07682330906391144, -0.010425573214888573, 0.002365662017837167, -0.07440681755542755, -0.0970851331949234, -0.002098365454003215, 0.1627587080001831, -0.11036204546689987, 0.03428821265697479, 0.09914060682058334, -0.14946183562278748, 0.09774216264486313, 0.003829001449048519, -0.03324558585882187, -0.0115739731118083, -0.011970991268754005, -0.07543749362230301, -0.07407847791910172, 0.18279902637004852, -0.1508927345275879, 0.2163003534078598, 0.18281035125255585, -0.028394965454936028, 0.10389569401741028, -0.004601515829563141, 0.06491844356060028, -0.1027788519859314, -0.061872776597738266, -0.09015893191099167, -0.04101235419511795, 0.06486456841230392, -0.011571025475859642, -0.03619684651494026, 0.014158627018332481]",2
face_id_7,"[-0.04093189537525177, 0.1407700479030609, 0.08460897207260132, -0.08697180449962616, -0.05889037996530533, 0.07288956642150879, -0.07322300970554352, -0.10937664657831192, 0.17973145842552185, -0.03651845455169678, 0.18696512281894684, 0.05103340744972229, -0.17822955548763275, 0.098243847489357, -0.11642959713935852, 0.10166635364294052, -0.287467360496521, -0.030275538563728333, -0.14273978769779205, -0.10036609321832657, -0.050982534885406494, 0.09064804017543793, 0.037043020129203796, -0.019883964210748672, -0.15857626497745514, -0.18895146250724792, -0.02808048389852047, -0.11116062104701996, 0.14669901132583618, -0.022224564105272293, -0.0028830969240516424, -0.008483641780912876, -0.2878829836845398, -0.031753238290548325, 0.005708702839910984, 0.0567452609539032, -0.11240130662918091, -0.05854707583785057, 0.19110660254955292, 0.033768244087696075, -0.08409525454044342, 0.02945586107671261, 0.054933588951826096, 0.1908925175666809, 0.21439898014068604, -0.017228202894330025, 0.013913081027567387, -0.07820525020360947, 0.1176382303237915, -0.27689090371131897, 0.0749775767326355, 0.15347938239574432, 0.1685909777879715, 0.16597582399845123, 0.042802903801202774, -0.13048642873764038, 0.058318331837654114, 0.16377386450767517, -0.11738637834787369, 0.1441168487071991, 0.14616012573242188, -0.04894755408167839, -0.001082476694136858, 0.0343768373131752, 0.19948561489582062, 0.07754211872816086, -0.11874044686555862, -0.14213253557682037, 0.16179272532463074, -0.09738977998495102, -0.05963662639260292, 0.08403437584638596, -0.029465585947036743, -0.13264717161655426, -0.2811109721660614, 0.06485605239868164, 0.38382261991500854, 0.13133691251277924, -0.1748848408460617, -0.024968523532152176, -0.11606340855360031, -0.06005233898758888, 0.033477287739515305, 0.046798352152109146, -0.11233596503734589, -0.06548989564180374, -0.047142937779426575, 0.02989121899008751, 0.24934113025665283, -0.00502770533785224, -0.025678178295493126, 0.2161893993616104, 0.029599877074360847, -0.04911911115050316, -0.0099391033872962, 0.08281879127025604, -0.11977656930685043, -0.041887007653713226, -0.10559508949518204, 0.028264453634619713, 0.0026856842450797558, -0.06251208484172821, -0.054726023226976395, 0.14705558121204376, -0.14693009853363037, 0.1940767467021942, -0.026856213808059692, -0.0794481411576271, 0.03684065863490105, -0.015121723525226116, -0.09421880543231964, -0.04720276594161987, 0.2255001813173294, -0.24863657355308533, 0.23943978548049927, 0.1532464176416397, 0.0017749746330082417, 0.08724992722272873, 0.05830148980021477, 0.09955082833766937, 0.00693411473184824, 0.06279626488685608, -0.13624368607997894, -0.17174533009529114, 0.004737180192023516, -0.0959714949131012, -0.0006014833343215287, 0.03988674655556679]",4
face_id_8,"[-0.15521648526191711, 0.0603129044175148, 0.08114609867334366, -0.125514954328537, -0.19905880093574524, -0.02329743094742298, -0.005022922996431589, -0.10055208951234818, 0.24118857085704803, -0.06856139749288559, 0.15568077564239502, 0.02059215120971203, -0.19373534619808197, 0.03915940225124359, -0.02919107675552368, 0.160257026553154, -0.11746013909578323, -0.12315095216035843, -0.12493613362312317, -0.15603956580162048, -0.04612484574317932, 0.04062593728303909, -0.01720956340432167, 0.048200495541095734, -0.17829029262065887, -0.17789483070373535, -0.04737521708011627, -0.030063658952713013, 0.03898504376411438, -0.02810114249587059, -0.011443580500781536, 0.14067496359348297, -0.17807427048683167, -0.020500697195529938, 0.08886313438415527, 0.14617598056793213, -0.05880289897322655, -0.09709775447845459, 0.17245624959468842, -0.06533189117908478, -0.1350744366645813, 0.04194207489490509, 0.10619129240512848, 0.16377894580364227, 0.2984599471092224, -0.06333743780851364, 0.04060082510113716, -0.12979967892169952, 0.18613283336162567, -0.3125895857810974, 0.007595456670969725, 0.13593129813671112, 0.04330570250749588, 0.062230825424194336, 0.08963834494352341, -0.19499853253364563, -0.014349840581417084, 0.18002104759216309, -0.17031466960906982, 0.05155205726623535, 0.038016706705093384, -0.1306741088628769, -0.11422731727361679, -0.1162288635969162, 0.19095340371131897, 0.1405261904001236, -0.15252476930618286, -0.2443702667951584, 0.1886729896068573, -0.17500151693820953, -0.062367286533117294, 0.13484130799770355, -0.10751697421073914, -0.15661674737930298, -0.2769847810268402, 0.04321935400366783, 0.426189661026001, 0.18548521399497986, -0.20192839205265045, 0.08650226145982742, -0.13433249294757843, -0.022364843636751175, -0.038947172462940216, 0.049622680991888046, -0.014278502203524113, -0.1204758882522583, -0.12498138844966888, -0.028117822483181953, 0.2785055339336395, -0.036437373608350754, -0.0018359320238232613, 0.23591390252113342, 0.09144558757543564, 0.008438970893621445, -0.0720297172665596, 0.06000882387161255, -0.1688213348388672, -0.06940378248691559, -0.14386987686157227, -0.10222461819648743, -0.028143495321273804, -0.0030304789543151855, 0.005418677814304829, 0.13189750909805298, -0.1882471740245819, 0.243430957198143, -0.05275263264775276, -0.0046479832381010056, -0.09119299799203873, -0.07740513980388641, -0.015941249206662178, 0.04839366674423218, 0.16220901906490326, -0.2815632224082947, 0.17415735125541687, 0.1105361059308052, 0.04836338013410568, 0.17564159631729126, 0.06595809757709503, 0.05481146275997162, 0.04443889856338501, 0.029485195875167847, -0.06864368915557861, -0.09204312413930893, -0.009720769710838795, -0.0873352587223053, 0.0379474051296711, 0.11006738245487213]",3
face_id_9,"[-0.15982450544834137, 0.09649728983640671, 0.14250406622886658, -0.080257847905159, -0.19494621455669403, -0.0016721423016861081, 0.04359494149684906, -0.1184806078672409, 0.20708154141902924, -0.03486347571015358, 0.18045853078365326, 0.024922223761677742, -0.2760247588157654, 0.012209859676659107, 0.030120838433504105, 0.147404283285141, -0.1219974160194397, -0.11768274754285812, -0.12473908811807632, -0.09421707689762115, -0.03482729569077492, 0.05255637317895889, 0.07750888913869858, 0.016193827614188194, -0.21712030470371246, -0.2733210027217865, -0.1085839569568634, -0.024205226451158524, -0.01585289277136326, -0.026122840121388435, 0.10411359369754791, 0.14086942374706268, -0.14145919680595398, 0.04714484512805939, 0.06508729606866837, 0.09852803498506546, -0.08415191620588303, -0.10174323618412018, 0.14390316605567932, -0.07889595627784729, -0.24567027390003204, -0.0023781023919582367, 0.06345032900571823, 0.1945749968290329, 0.23600339889526367, -0.04919087886810303, 0.041348449885845184, -0.0955008789896965, 0.08210666477680206, -0.298626571893692, 0.04811166971921921, 0.14952467381954193, -0.015542665496468544, 0.014010678045451641, 0.08527643233537674, -0.16074524819850922, 0.0032676244154572487, 0.21055828034877777, -0.17171050608158112, 0.016868462786078453, 0.061838001012802124, -0.14177274703979492, -0.06249072030186653, -0.05948665738105774, 0.16222234070301056, 0.17455114424228668, -0.1819782853126526, -0.18049608170986176, 0.13982965052127838, -0.13381676375865936, -0.008070386946201324, 0.19093355536460876, -0.15651601552963257, -0.19031848013401031, -0.22946317493915558, 0.003046399215236306, 0.5590538382530212, 0.07885415107011795, -0.18684548139572144, -0.03835668787360191, -0.1659146100282669, 0.01468072272837162, -0.010100097395479679, 0.0871737003326416, -0.04450956732034683, -0.16702163219451904, -0.17492757737636566, 0.033048685640096664, 0.2648775577545166, -0.06079629808664322, -0.037946611642837524, 0.2709701359272003, 0.09115497767925262, -0.021042287349700928, -0.07469020783901215, 0.07218554615974426, -0.11530476063489914, -0.031751979142427444, -0.09168342500925064, -0.09974054247140884, 0.0016548925777897239, -0.027190739288926125, -0.04809960722923279, 0.11779489368200302, -0.18847393989562988, 0.28389424085617065, 0.06473332643508911, 0.01660413295030594, -0.0004021779168397188, -0.08123202621936798, -0.00983296800404787, 0.038267411291599274, 0.17405325174331665, -0.29654431343078613, 0.18209980428218842, 0.12319043278694153, -0.0007049556588754058, 0.1647549569606781, 0.009874855168163776, 0.07435943931341171, -0.005704771261662245, -0.04732988402247429, -0.08243446797132492, -0.042574070394039154, 0.02380048856139183, -0.09951257705688477, 0.04721033573150635, 0.04260203242301941]",3
